01/04/21;09:44;MARKET;5694;
01/04/21;09:51;MARKET;31369;
01/04/21;10:14;MARKET;20028;
01/04/21;10:49;MARKET;31739;
01/04/21;11:29;MARKET;20599;
01/04/21;11:40;MARKET;31591;
01/04/21;11:45;MARKET;38365;
01/04/21;12:23;MARKET;11296;
01/04/21;12:39;MARKET;31366;
01/04/21;13:05;MARKET;26621;
01/04/21;13:35;MARKET;34465;
01/04/21;14:01;MARKET;18593;
01/04/21;14:17;MARKET;14363;
01/04/21;15:27;MARKET;14112;
01/04/21;15:56;MARKET;24124;
01/05/21;09:42;MARKET;20349;
01/05/21;09:54;MARKET;27060;
01/05/21;10:05;MARKET;25227;
01/05/21;10:39;MARKET;30905;
01/05/21;10:59;MARKET;19647;
01/05/21;12:10;MARKET;25639;
01/05/21;12:25;MARKET;10009;
01/05/21;12:55;MARKET;23902;
01/05/21;13:19;MARKET;17091;
01/05/21;13:50;MARKET;6774;
01/05/21;14:21;MARKET;29404;
01/05/21;14:43;MARKET;27699;
01/05/21;15:16;MARKET;21199;
01/05/21;15:33;MARKET;39784;
01/05/21;15:49;MARKET;16263;
01/06/21;09:37;MARKET;19973;
01/06/21;09:52;MARKET;19296;
01/06/21;10:08;MARKET;4435;
01/06/21;11:38;MARKET;22017;
01/06/21;11:49;MARKET;5713;
01/06/21;12:19;MARKET;14248;
01/06/21;12:30;MARKET;29250;
01/06/21;12:45;MARKET;11577;
01/06/21;13:09;MARKET;26162;
01/06/21;14:44;MARKET;22786;
01/06/21;15:21;MARKET;13640;
01/06/21;15:37;MARKET;19991;
01/07/21;09:41;MARKET;23168;
01/07/21;10:11;MARKET;19772;
01/07/21;11:31;MARKET;18444;
01/07/21;11:47;MARKET;1030;
01/07/21;12:22;MARKET;26842;
01/07/21;12:41;MARKET;3099;
01/07/21;12:48;MARKET;24044;
01/07/21;13:17;MARKET;13678;
01/07/21;13:52;MARKET;19463;
01/07/21;14:06;MARKET;8999;
01/07/21;14:28;MARKET;20182;
01/07/21;14:34;MARKET;19939;
01/07/21;14:52;MARKET;18922;
01/07/21;15:03;MARKET;21435;
01/07/21;15:25;MARKET;21849;
01/08/21;09:40;MARKET;3428;
01/08/21;09:59;MARKET;3174;
01/08/21;10:11;MARKET;20602;
01/08/21;10:23;MARKET;24765;
01/08/21;10:34;MARKET;6895;
01/08/21;10:46;MARKET;21080;
01/08/21;11:15;MARKET;16062;
01/08/21;12:05;MARKET;7967;
01/08/21;12:46;MARKET;20489;
01/08/21;13:23;MARKET;14740;
01/08/21;14:05;MARKET;25248;
01/08/21;14:24;MARKET;8776;
01/08/21;14:31;MARKET;1760;
01/08/21;14:57;MARKET;11784;
01/08/21;15:17;MARKET;12999;
01/08/21;03:47PM;MARKET;0;
